Position,PlayerName,Team,Opponent,Salary,PPG
D,Bears (Chi),Bears,Steelers,8000,10.0
K,Robbie Gould,Bears,Steelers,5400,7.9
QB,Jay Cutler,Bears,Steelers,13250,22.9
WR,Brandon Marshall,Bears,Steelers,15650,24.4
FLEX,Brandon Marshall,Bears,Steelers,15650,24.4
RB,Michael Bush,Bears,Steelers,5000,0.8
FLEX,Michael Bush,Bears,Steelers,5000,0.8
RB,Matt Forte,Bears,Steelers,16100,22.1
FLEX,Matt Forte,Bears,Steelers,16100,22.1
TE,Martellus Bennett,Bears,Steelers,9550,20.2
FLEX,Martellus Bennett,Bears,Steelers,9550,20.2
WR,Alshon Jeffery,Bears,Steelers,6400,7.2
FLEX,Alshon Jeffery,Bears,Steelers,6400,7.2
D,Broncos (Den),Broncos,Raiders,8000,12.5
QB,Peyton Manning,Broncos,Raiders,20000,42.1
WR,Wes Welker,Broncos,Raiders,12150,19.3
FLEX,Wes Welker,Broncos,Raiders,12150,19.3
K,Matt Prater,Broncos,Raiders,5700,10.4
WR,Andre Caldwell,Broncos,Raiders,5700,7.2
FLEX,Andre Caldwell,Broncos,Raiders,5700,7.2
RB,Knowshon Moreno,Broncos,Raiders,9200,17.6
FLEX,Knowshon Moreno,Broncos,Raiders,9200,17.6
WR,Demaryius Thomas,Broncos,Raiders,14150,21.6
FLEX,Demaryius Thomas,Broncos,Raiders,14150,21.6
WR,Eric Decker,Broncos,Raiders,9750,11.4
FLEX,Eric Decker,Broncos,Raiders,9750,11.4
TE,Julius Thomas,Broncos,Raiders,9550,22.4
FLEX,Julius Thomas,Broncos,Raiders,9550,22.4
RB,Ronnie Hillman,Broncos,Raiders,5000,3.2
FLEX,Ronnie Hillman,Broncos,Raiders,5000,3.2
RB,Montee Ball,Broncos,Raiders,6050,3.4
FLEX,Montee Ball,Broncos,Raiders,6050,3.4
D,Chiefs (KC),Chiefs,Eagles,5000,17.0
QB,Alex Smith,Chiefs,Eagles,13200,24.0
TE,Anthony Fasano,Chiefs,Eagles,5250,3.7
FLEX,Anthony Fasano,Chiefs,Eagles,5250,3.7
WR,Dwayne Bowe,Chiefs,Eagles,11300,11.3
FLEX,Dwayne Bowe,Chiefs,Eagles,11300,11.3
WR,Donnie Avery,Chiefs,Eagles,5150,7.5
FLEX,Donnie Avery,Chiefs,Eagles,5150,7.5
RB,Jamaal Charles,Chiefs,Eagles,16550,21.6
FLEX,Jamaal Charles,Chiefs,Eagles,16550,21.6
K,Ryan Succop,Chiefs,Eagles,5500,5.0
WR,Dexter McCluster,Chiefs,Eagles,6150,5.3
FLEX,Dexter McCluster,Chiefs,Eagles,6150,5.3
RB,Anthony Sherman,Chiefs,Eagles,5000,8.4
FLEX,Anthony Sherman,Chiefs,Eagles,5000,8.4
RB,Knile Davis,Chiefs,Eagles,5000,1.4
FLEX,Knile Davis,Chiefs,Eagles,5000,1.4
D,Raiders (Oak),Raiders,Broncos,5000,6.5
K,Sebastian Janikowski,Raiders,Broncos,5900,10.2
RB,Darren McFadden,Raiders,Broncos,12000,16.6
FLEX,Darren McFadden,Raiders,Broncos,12000,16.6
RB,Marcel Reece,Raiders,Broncos,5200,4.7
FLEX,Marcel Reece,Raiders,Broncos,5200,4.7
RB,Rashad Jennings,Raiders,Broncos,5100,2.3
FLEX,Rashad Jennings,Raiders,Broncos,5100,2.3
WR,Jacoby Ford,Raiders,Broncos,5600,2.2
FLEX,Jacoby Ford,Raiders,Broncos,5600,2.2
WR,Denarius Moore,Raiders,Broncos,7350,7.7
FLEX,Denarius Moore,Raiders,Broncos,7350,7.7
QB,Terrelle Pryor,Raiders,Broncos,12300,16.0
WR,Rod Streater,Raiders,Broncos,6450,10.1
FLEX,Rod Streater,Raiders,Broncos,6450,10.1
TE,Mychal Rivera,Raiders,Broncos,5550,5.4
FLEX,Mychal Rivera,Raiders,Broncos,5550,5.4
D,Eagles (Phi),Eagles,Chiefs,5600,7.5
QB,Michael Vick,Eagles,Chiefs,18850,33.4
WR,Jason Avant,Eagles,Chiefs,5600,3.6
FLEX,Jason Avant,Eagles,Chiefs,5600,3.6
TE,Brent Celek,Eagles,Chiefs,5450,6.8
FLEX,Brent Celek,Eagles,Chiefs,5450,6.8
WR,DeSean Jackson,Eagles,Chiefs,16200,28.9
FLEX,DeSean Jackson,Eagles,Chiefs,16200,28.9
RB,LeSean McCoy,Eagles,Chiefs,18350,23.8
FLEX,LeSean McCoy,Eagles,Chiefs,18350,23.8
WR,Riley Cooper,Eagles,Chiefs,5900,7.0
