Position,PlayerName,Team,Opponent,Salary,PPG
D,Falcons (Atl),Falcons,Patriots,5000,7.0
TE,Tony Gonzalez,Falcons,Patriots,9250,8.8
FLEX,Tony Gonzalez,Falcons,Patriots,9250,8.8
K,Matt Bryant,Falcons,Patriots,5400,8.8
RB,Steven Jackson,Falcons,Patriots,13650,12.5
FLEX,Steven Jackson,Falcons,Patriots,13650,12.5
WR,Roddy White,Falcons,Patriots,8050,4.2
FLEX,Roddy White,Falcons,Patriots,8050,4.2
RB,Jason Snelling,Falcons,Patriots,8900,13.6
FLEX,Jason Snelling,Falcons,Patriots,8900,13.6
QB,Matt Ryan,Falcons,Patriots,18050,23.2
WR,Harry Douglas,Falcons,Patriots,6050,7.2
FLEX,Harry Douglas,Falcons,Patriots,6050,7.2
WR,Julio Jones,Falcons,Patriots,18400,25.0
FLEX,Julio Jones,Falcons,Patriots,18400,25.0
RB,Jacquizz Rodgers,Falcons,Patriots,7900,7.0
FLEX,Jacquizz Rodgers,Falcons,Patriots,7900,7.0
D,Dolphins (Mia),Dolphins,Saints,5000,8.7
WR,Mike Wallace,Dolphins,Saints,10700,11.1
FLEX,Mike Wallace,Dolphins,Saints,10700,11.1
WR,Brian Hartline,Dolphins,Saints,9700,17.9
FLEX,Brian Hartline,Dolphins,Saints,9700,17.9
WR,Brandon Gibson,Dolphins,Saints,5900,9.2
FLEX,Brandon Gibson,Dolphins,Saints,5900,9.2
RB,Daniel Thomas,Dolphins,Saints,6550,8.2
FLEX,Daniel Thomas,Dolphins,Saints,6550,8.2
TE,Charles Clay,Dolphins,Saints,7200,13.5
FLEX,Charles Clay,Dolphins,Saints,7200,13.5
QB,Ryan Tannehill,Dolphins,Saints,13600,16.7
RB,Lamar Miller,Dolphins,Saints,8550,8.3
FLEX,Lamar Miller,Dolphins,Saints,8550,8.3
K,Caleb Sturgis,Dolphins,Saints,5500,12.0
D,Patriots (NE),Patriots,Falcons,5000,11.0
QB,Tom Brady,Patriots,Falcons,17300,17.3
K,Stephen Gostkowski,Patriots,Falcons,5600,11.9
WR,Danny Amendola,Patriots,Falcons,14200,20.4
FLEX,Danny Amendola,Patriots,Falcons,14200,20.4
WR,Julian Edelman,Patriots,Falcons,12900,19.8
FLEX,Julian Edelman,Patriots,Falcons,12900,19.8
TE,Rob Gronkowski,Patriots,Falcons,12250,0.0
FLEX,Rob Gronkowski,Patriots,Falcons,12250,0.0
RB,LeGarrette Blount,Patriots,Falcons,5000,3.0
FLEX,LeGarrette Blount,Patriots,Falcons,5000,3.0
RB,Stevan Ridley,Patriots,Falcons,8050,4.0
FLEX,Stevan Ridley,Patriots,Falcons,8050,4.0
RB,Brandon Bolden,Patriots,Falcons,7100,15.0
FLEX,Brandon Bolden,Patriots,Falcons,7100,15.0
WR,Aaron Dobson,Patriots,Falcons,8850,13.4
FLEX,Aaron Dobson,Patriots,Falcons,8850,13.4
TE,Zach Sudfeld,Patriots,Falcons,5000,0.0
FLEX,Zach Sudfeld,Patriots,Falcons,5000,0.0
WR,Kenbrell Thompkins,Patriots,Falcons,9900,11.3
FLEX,Kenbrell Thompkins,Patriots,Falcons,9900,11.3
D,Saints (NO),Saints,Dolphins,5000,9.7
QB,Drew Brees,Saints,Dolphins,20000,25.7
TE,Benjamin Watson,Saints,Dolphins,5900,4.2
FLEX,Benjamin Watson,Saints,Dolphins,5900,4.2
RB,Darren Sproles,Saints,Dolphins,11500,12.9
FLEX,Darren Sproles,Saints,Dolphins,11500,12.9
WR,Lance Moore,Saints,Dolphins,6800,2.8
FLEX,Lance Moore,Saints,Dolphins,6800,2.8
WR,Marques Colston,Saints,Dolphins,12400,13.4
FLEX,Marques Colston,Saints,Dolphins,12400,13.4
WR,Robert Meachem,Saints,Dolphins,5000,5.7
FLEX,Robert Meachem,Saints,Dolphins,5000,5.7
RB,Pierre Thomas,Saints,Dolphins,7600,10.5
FLEX,Pierre Thomas,Saints,Dolphins,7600,10.5
K,Garrett Hartley,Saints,Dolphins,5600,10.8
TE,Jimmy Graham,Saints,Dolphins,18600,27.6
FLEX,Jimmy Graham,Saints,Dolphins,18600,27.6
RB,Mark Ingram,Saints,Dolphins,5000,1.6
FLEX,Mark Ingram,Saints,Dolphins,5000,1.6
WR,Kenny Stills,Saints,Dolphins,6050,4.2
FLEX,Kenny Stills,Saints,Dolphins,6050,4.2
