Position,PlayerName,Team,Opponent,Salary,PPG
D,Falcons (Atl),Falcons,Patriots,5000,7.0
D,Bills (Buf),Bills,Ravens,5400,9.0
D,Bears (Chi),Bears,Lions,6000,15.0
D,Bengals (Cin),Bengals,Browns,5600,8.0
D,Browns (Cle),Browns,Bengals,5800,7.7
D,Cowboys (Dal),Cowboys,Chargers,5800,15.0
D,Broncos (Den),Broncos,Eagles,5600,9.3
D,Lions (Det),Lions,Bears,5000,9.0
D,Titans (Ten),Titans,Jets,5000,10.3
D,Colts (Ind),Colts,Jaguars,5500,8.0
D,Chiefs (KC),Chiefs,Giants,5700,19.0
D,Raiders (Oak),Raiders,Redskins,5000,4.7
D,Dolphins (Mia),Dolphins,Saints,5000,8.7
D,Vikings (Min),Vikings,Steelers,6300,11.3
D,Patriots (NE),Patriots,Falcons,5000,11.0
D,Saints (NO),Saints,Dolphins,5000,9.7
D,Giants (NYG),Giants,Chiefs,5000,1.0
D,Jets (NYJ),Jets,Titans,5000,8.0
D,Eagles (Phi),Eagles,Broncos,5000,7.0
D,Cardinals (Ari),Cardinals,Buccaneers,5000,7.0
D,Steelers (Pit),Steelers,Vikings,5000,2.7
D,Chargers (SD),Chargers,Cowboys,5000,2.7
D,Seahawks (Sea),Seahawks,Texans,6000,14.0
D,Buccaneers (TB),Buccaneers,Cardinals,5700,10.0
D,Redskins (Was),Redskins,Raiders,5000,7.7
D,Jaguars (Jac),Jaguars,Colts,5000,4.3
D,Ravens (Bal),Ravens,Bills,5500,12.0
D,Texans (Hou),Texans,Seahawks,5300,6.0
K,Matt Bryant,Falcons,Patriots,5400,8.8
K,Rian Lindell,Buccaneers,Cardinals,5200,3.6
K,Robbie Gould,Bears,Lions,5400,9.2
K,Mike Nugent,Bengals,Browns,5300,5.4
K,Dan Bailey,Cowboys,Chargers,5800,11.9
K,Kai Forbath,Redskins,Raiders,5400,3.0
K,Steven Hauschka,Seahawks,Texans,5500,8.6
K,Matt Prater,Broncos,Eagles,6000,12.8
K,Rob Bironas,Titans,Jets,5700,9.3
K,Adam Vinatieri,Colts,Jaguars,5400,7.7
K,Ryan Succop,Chiefs,Giants,5500,8.5
K,Sebastian Janikowski,Raiders,Redskins,5600,7.8
K,Josh Brown,Giants,Chiefs,5000,6.6
