gsis_id	name	position	games_played	avg_points	stddev_points
00-0020305	A.J. Feeley	QB	4	5.080000	4.113855
00-0027942	A.J. Green	WR	32	17.343750	8.098493
00-0027129	Aaron Brown	RB	1	1.900000	0.000000
00-0027713	Aaron Hernandez	TE	23	14.969565	7.475260
00-0023459	Aaron Rodgers	QB	32	29.332500	10.369675
00-0030550	Ace Sanders	WR	1	4.400000	0.000000
00-0016919	Adam Vinatieri	K	33	0.000000	0.000000
00-0026377	Adrian Arrington	WR	2	2.550000	0.150000
00-0025394	Adrian Peterson	RB	29	20.196552	8.781936
00-0025637	Ahmad Bradshaw	RB	27	13.848148	8.218604
00-0024489	Ahmard Hall	RB	7	2.000000	1.500476
00-0028116	Aldrick Robinson	WR	8	6.762500	5.552013
00-0028034	Alex Green	RB	12	6.633333	3.655893
00-0028058	Alex Henery	K	33	0.000000	0.000000
00-0023436	Alex Smith	QB	45	10.323556	8.960368
00-0027346	Alfonso Smith	RB	10	2.800000	3.323853
00-0029141	Alfred Morris	RB	17	15.435294	7.977390
00-0028267	Allen Reisner	TE	3	3.300000	2.006656
00-0029137	Alshon Jeffery	WR	10	8.790000	4.644664
00-0027094	Andre Brown	RB	10	10.710000	8.610976
00-0026237	Andre Caldwell	WR	14	7.192857	4.222975
00-0030287	Andre Ellington	RB	1	2.300000	0.000000
00-0028263	Andre Holmes	WR	2	1.550000	0.150000
00-0022044	Andre Johnson	WR	24	17.391667	10.371633
00-0027691	Andre Roberts	WR	31	10.154839	6.747322
00-0027918	Andrew Hawkins	WR	26	7.042308	4.795444
00-0029668	Andrew Luck	QB	17	20.669412	8.117792
00-0027753	Andrew Quarless	TE	3	2.200000	0.637704
00-0027973	Andy Dalton	QB	33	17.313939	7.934446
00-0022084	Anquan Boldin	WR	29	13.272414	7.664783
00-0028163	Anthony Allen	RB	8	2.012500	3.775062
00-0026465	Anthony Armstrong	WR	10	3.540000	3.960858
00-0019457	Anthony Becht	TE	2	2.800000	1.200000
00-0027772	Anthony Dixon	RB	17	2.476471	3.084597
00-0024268	Anthony Fasano	TE	30	7.136667	4.514162
00-0026908	Anthony Hill	TE	2	1.500000	0.000000
00-0027783	Anthony McCoy	TE	18	5.150000	3.969782
00-0027793	Antonio Brown	WR	30	12.850000	5.663023
00-0021547	Antonio Gates	TE	28	11.982143	6.493296
