Position,PlayerName,Team,Opponent,Salary,PPG
D,Falcons,Falcons,Cardinals,5000,5.7
D,Bills,Bills,Saints,5000,9.3
D,Bengals,Bengals,Jets,5500,7.7
D,Browns,Browns,Chiefs,5000,8.0
D,Cowboys,Cowboys,Lions,5000,11.9
D,Broncos,Broncos,Redskins,5000,8.6
D,Lions,Lions,Cowboys,5000,6.5
D,Packers,Packers,Vikings,5500,8.3
D,Chiefs,Chiefs,Browns,8200,17.9
D,Raiders,Raiders,Steelers,5000,9.2
D,Rams,Rams,Seahawks,5000,9.0
D,Dolphins,Dolphins,Patriots,5000,7.5
D,Vikings,Vikings,Packers,5000,7.1
D,Patriots,Patriots,Dolphins,5400,9.4
D,Saints,Saints,Bills,5700,9.0
D,Giants,Giants,Eagles,5000,2.4
D,Jets,Jets,Bengals,5000,6.7
D,Eagles,Eagles,Giants,5300,5.6
D,Cardinals,Cardinals,Falcons,5000,9.7
D,Steelers,Steelers,Raiders,5600,3.4
D,49ers,49ers,Jaguars,7800,10.7
D,Seahawks,Seahawks,Rams,8500,12.7
D,Redskins,Redskins,Broncos,5000,8.5
D,Jaguars,Jaguars,49ers,5000,3.7
K,Matt Bryant,Falcons,Cardinals,5500,8.3
K,Mike Nugent,Bengals,Jets,5300,8.3
K,Phil Dawson,49ers,Jaguars,5400,7.5
K,Dan Bailey,Cowboys,Lions,5500,9.2
K,Kai Forbath,Redskins,Broncos,5400,7.8
K,Steven Hauschka,Seahawks,Rams,5800,11.5
K,Matt Prater,Broncos,Redskins,6000,12.2
K,Mason Crosby,Packers,Vikings,6000,11.6
K,Ryan Succop,Chiefs,Browns,5600,8.9
K,Sebastian Janikowski,Raiders,Steelers,5200,6.5
K,Josh Brown,Giants,Eagles,5000,5.5
K,Dan Carpenter,Bills,Saints,5300,10.1
K,Stephen Gostkowski,Patriots,Dolphins,5900,12.1
K,Garrett Hartley,Saints,Bills,5800,11.4
K,Nick Folk,Jets,Bengals,5500,10.6
K,Alex Henery,Eagles,Giants,5600,9.4
K,Jay Feely,Cardinals,Falcons,5200,8.4
