Position,PlayerName,Team,Opponent,Salary,PPG
QB,Nathan Enderle,Chargers,Texans,6000,-0.1
WR,Miles Austin,Cowboys,Giants,8850,11.5
FLEX,Miles Austin,Cowboys,Giants,8850,11.5
K,Dan Bailey,Cowboys,Giants,5800,8.3
WR,Dez Bryant,Cowboys,Giants,15050,17.6
FLEX,Dez Bryant,Cowboys,Giants,15050,17.6
K,Kai Forbath,Redskins,Eagles,6700,9.0
WR,Dwayne Harris,Cowboys,Giants,4250,3.9
FLEX,Dwayne Harris,Cowboys,Giants,4250,3.9
QB,Jon Kitna,Cowboys,Giants,6000,0.0
QB,Stephen McGee,Texans,Chargers,6000,0.4
RB,DeMarco Murray,Cowboys,Giants,10900,12.7
FLEX,DeMarco Murray,Cowboys,Giants,10900,12.7
TE,John Phillips,Chargers,Texans,5550,2.7
FLEX,John Phillips,Chargers,Texans,5550,2.7
QB,Tony Romo,Cowboys,Giants,15450,19.1
RB,Phillip Tanner,Cowboys,Giants,7650,4.3
FLEX,Phillip Tanner,Cowboys,Giants,7650,4.3
TE,Jason Witten,Cowboys,Giants,11500,12.5
FLEX,Jason Witten,Cowboys,Giants,11500,12.5
QB,Kyle Orton,Cowboys,Giants,6000,3.8
WR,Eddie Royal,Chargers,Texans,5950,4.7
FLEX,Eddie Royal,Chargers,Texans,5950,4.7
WR,Pierre Garcon,Redskins,Eagles,11950,12.0
FLEX,Pierre Garcon,Redskins,Eagles,11950,12.0
QB,Curtis Painter,Giants,Cowboys,6000,5.8
TE,Brandon Myers,Giants,Cowboys,8700,9.8
FLEX,Brandon Myers,Giants,Cowboys,8700,9.8
K,Josh Brown,Giants,Cowboys,5950,12.5
WR,Greg Salas,Eagles,Redskins,5950,8.1
FLEX,Greg Salas,Eagles,Redskins,5950,8.1
QB,Kevin O'Connell,Chargers,Texans,6000,0.0
RB,Danny Woodhead,Chargers,Texans,6250,9.1
FLEX,Danny Woodhead,Chargers,Texans,6250,9.1
WR,Devery Henderson,Redskins,Eagles,5950,4.1
FLEX,Devery Henderson,Redskins,Eagles,5950,4.1
WR,Ramses Barden,Giants,Cowboys,4250,5.6
FLEX,Ramses Barden,Giants,Cowboys,4250,5.6
RB,Andre Brown,Giants,Cowboys,6650,8.8
FLEX,Andre Brown,Giants,Cowboys,6650,8.8
QB,David Carr,Giants,Cowboys,6000,0.7
WR,Victor Cruz,Giants,Cowboys,12850,16.3
FLEX,Victor Cruz,Giants,Cowboys,12850,16.3
QB,Eli Manning,Giants,Cowboys,14750,15.5
WR,Hakeem Nicks,Giants,Cowboys,11100,10.5
FLEX,Hakeem Nicks,Giants,Cowboys,11100,10.5
QB,Ryan Perrilloux,Giants,Cowboys,6000,0.0
K,Nick Novak,Chargers,Texans,5650,7.3
WR,Jason Avant,Eagles,Redskins,6350,8.2
FLEX,Jason Avant,Eagles,Redskins,6350,8.2
RB,Ronnie Brown,Chargers,Texans,4250,6.5
FLEX,Ronnie Brown,Chargers,Texans,4250,6.5
TE,Brent Celek,Eagles,Redskins,7800,8.0
FLEX,Brent Celek,Eagles,Redskins,7800,8.0
WR,Riley Cooper,Eagles,Redskins,5950,5.8
FLEX,Riley Cooper,Eagles,Redskins,5950,5.8
K,Alex Henery,Eagles,Redskins,5550,7.3
WR,DeSean Jackson,Eagles,Redskins,9450,10.8
FLEX,DeSean Jackson,Eagles,Redskins,9450,10.8
RB,LeSean McCoy,Eagles,Redskins,14750,15.7
FLEX,LeSean McCoy,Eagles,Redskins,14750,15.7
QB,Michael Vick,Eagles,Redskins,14450,15.9
RB,William Powell,Eagles,Redskins,5100,4.5
FLEX,William Powell,Eagles,Redskins,5100,4.5
WR,Vincent Brown,Chargers,Texans,8950,1.9
FLEX,Vincent Brown,Chargers,Texans,8950,1.9
TE,Antonio Gates,Chargers,Texans,7950,8.8
FLEX,Antonio Gates,Chargers,Texans,7950,8.8
RB,Ryan Mathews,Chargers,Texans,9200,10.2
FLEX,Ryan Mathews,Chargers,Texans,9200,10.2
TE,Randy McMichael,Chargers,Texans,6400,2.0
FLEX,Randy McMichael,Chargers,Texans,6400,2.0
QB,Philip Rivers,Chargers,Texans,13500,13.8
QB,Billy Volek,Chargers,Texans,6000,0.0
WR,Joshua Morgan,Redskins,Eagles,4300,6.3
FLEX,Joshua Morgan,Redskins,Eagles,4300,6.3
QB,Charlie Whitehurst,Chargers,Texans,6000,5.0
QB,Rudy Carpenter,Cowboys,Giants,6000,0.0
QB,Jonathan Crompton,Redskins,Eagles,6000,0.0
QB,John Beck,Texans,Chargers,6000,0.0
TE,Chris Cooley,Redskins,Eagles,5100,0.6
FLEX,Chris Cooley,Redskins,Eagles,5100,0.6
TE,Fred Davis,Redskins,Eagles,7900,6.8
FLEX,Fred Davis,Redskins,Eagles,7900,6.8
QB,Rex Grossman,Redskins,Eagles,6000,10.1
WR,Leonard Hankerson,Redskins,Eagles,4250,7.4
FLEX,Leonard Hankerson,Redskins,Eagles,4250,7.4
RB,Roy Helu,Redskins,Eagles,4250,6.5
FLEX,Roy Helu,Redskins,Eagles,4250,6.5
RB,Tim Hightower,Redskins,Eagles,5100,0.0
FLEX,Tim Hightower,Redskins,Eagles,5100,0.0
WR,Santana Moss,Redskins,Eagles,4700,8.2
FLEX,Santana Moss,Redskins,Eagles,4700,8.2
TE,Logan Paulsen,Redskins,Eagles,5950,5.0
FLEX,Logan Paulsen,Redskins,Eagles,5950,5.0
WR,Aldrick Robinson,Redskins,Eagles,5950,6.0
FLEX,Aldrick Robinson,Redskins,Eagles,5950,6.0
RB,Evan Royster,Redskins,Eagles,4250,4.0
FLEX,Evan Royster,Redskins,Eagles,4250,4.0
TE,James Casey,Eagles,Redskins,5750,4.9
FLEX,James Casey,Eagles,Redskins,5750,4.9
TE,Owen Daniels,Texans,Chargers,8500,11.6
FLEX,Owen Daniels,Texans,Chargers,8500,11.6
RB,Arian Foster,Texans,Chargers,15800,19.4
FLEX,Arian Foster,Texans,Chargers,15800,19.4
WR,Andre Johnson,Texans,Chargers,13900,16.9
FLEX,Andre Johnson,Texans,Chargers,13900,16.9
K,Neil Rackers,Redskins,Eagles,5000,0.0
QB,Matt Schaub,Texans,Chargers,13600,14.9
RB,Ben Tate,Texans,Chargers,5850,5.0
FLEX,Ben Tate,Texans,Chargers,5850,5.0
QB,T.J. Yates,Texans,Chargers,6000,5.5
D,Cowboys (Dal),Cowboys,Giants,4850,4.1
D,Giants (NYG),Giants,Cowboys,6900,7.8
D,Eagles (Phi),Eagles,Redskins,4400,3.4
D,Chargers (SD),Chargers,Texans,4950,6.9
D,Redskins (Was),Redskins,Eagles,6950,6.0
D,Texans (Hou),Texans,Chargers,8250,6.3
QB,Robert Griffin III,Redskins,Eagles,16600,23.2
RB,David Wilson,Giants,Cowboys,11200,5.6
FLEX,David Wilson,Giants,Cowboys,11200,5.6
WR,Rueben Randle,Giants,Cowboys,7400,5.0
FLEX,Rueben Randle,Giants,Cowboys,7400,5.0
QB,Nick Foles,Eagles,Redskins,8250,10.1
QB,Kirk Cousins,Redskins,Eagles,6000,8.7
WR,Keshawn Martin,Texans,Chargers,4250,2.2
FLEX,Keshawn Martin,Texans,Chargers,4250,2.2
K,Randy Bullock,Texans,Chargers,5000,10.2
RB,Alfred Morris,Redskins,Eagles,12300,13.8
FLEX,Alfred Morris,Redskins,Eagles,12300,13.8
RB,Bryce Brown,Eagles,Redskins,5400,6.8
FLEX,Bryce Brown,Eagles,Redskins,5400,6.8
K,John Potter,Redskins,Eagles,5000,0.0
WR,Damaris Johnson,Eagles,Redskins,5950,3.4
FLEX,Damaris Johnson,Eagles,Redskins,5950,3.4
QB,Nick Stephens,Cowboys,Giants,6000,1.0
QB,G.J. Kinne,Eagles,Redskins,6000,1.5
QB,Jarrett Lee,Chargers,Texans,6000,0.0
QB,Jacory Harris,Eagles,Redskins,6000,0.0
QB,Case Keenum,Texans,Chargers,6000,9.8
QB,Alex Tanney,Cowboys,Giants,6000,4.3
WR,DeAndre Hopkins,Texans,Chargers,7800,9.7
FLEX,DeAndre Hopkins,Texans,Chargers,7800,9.7
TE,Zach Ertz,Eagles,Redskins,6900,3.1
FLEX,Zach Ertz,Eagles,Redskins,6900,3.1
WR,Terrance Williams,Cowboys,Giants,4250,1.8
FLEX,Terrance Williams,Cowboys,Giants,4250,1.8
WR,Keenan Allen,Chargers,Texans,6800,2.2
FLEX,Keenan Allen,Chargers,Texans,6800,2.2
QB,Matt Barkley,Eagles,Redskins,6000,6.5
RB,Joseph Randle,Cowboys,Giants,4150,6.9
FLEX,Joseph Randle,Cowboys,Giants,4150,6.9
