"name","position","prediction"
"Visanthe Shiancoe","TE",4.89174198075273
"Vonta Leach","RB",4.16903800988848
"Billy Bajema","TE",3.94583342435307
"Fred Jackson","RB",11.9795655496697
"Brad Smith","WR",5.4451263694372
"Kevin Kolb","QB",13.4833394115507
"Jacoby Jones","WR",7.25626784322257
"Scott Chandler","TE",9.17432361848181
"Caleb Hanie","QB",7.00499796406789
"Joe Flacco","QB",19.0551199911798
"Ray Rice","RB",15.8422353657591
"Tashard Choice","RB",4.30065010585102
"Stevie Johnson","WR",14.1885462387859
"Frank Summers","RB",2.90149270243581
"Ed Dickson","TE",5.9591060591453
"Marcus Easley","WR",6.12293325808947
"Dennis Pitta","TE",11.5017146805192
"David Reed","WR",2.96300763218092
"Dorin Dickerson","WR",5.40594114296996
"C.J. Spiller","RB",11.9736007145887
"Torrey Smith","WR",11.9706891384643
"Tandon Doss","WR",4.4992124221695
"Lee Smith","TE",3.31589948761776
"Tyrod Taylor","QB",10.2163942317557
"Anthony Allen","RB",3.9346048324484
"DeMarco Sampson","WR",6.24201485067042
"Chris Hogan","WR",5.28999238696202
"Damien Berry","RB",6.28076505055667
"LaQuan Williams","WR",5.0919524000043
"Kevin Elliott","WR",5.13443488431101
"Bernard Pierce","RB",6.89646192717082
"Tommy Streeter","WR",3.42238086231549
"Bobby Rainey","RB",5.56502232108345
"Deonte Thompson","WR",3.58532761757979
"T.J. Graham","WR",4.75394792705225
"Zach Brown","RB",3.91936117765183
"Kyle Juszczyk","RB",3.52668713877594
"Aaron Mellette","WR",9.28237012954248
"Matt Furstenburg","TE",3.88311496498065
"Jeff Tuel","QB",9.86994345498217
"Kendall Gaskins","RB",4.28647904727374
"Brandon Kaufman","WR",6.97185637861148
"Da'Rick Rogers","WR",5.21510127978115
"Drew Smith","RB",2.42382398833837
"Chris Gragg","TE",3.52988630769859
"Marquise Goodwin","WR",3.22768188076791
"Marlon Brown","WR",12.5886132663785
"Robert Woods","WR",7.44079618991766
"EJ Manuel","QB",16.9912957672023
"Jason Campbell","QB",8.33715331332393
"Alex Smith","TE",2.82650822663917
"Brandon Jackson","RB",7.27939126278565
"BenJarvus Green-Ellis","RB",10.5411587734253
"Davone Bess","WR",10.9778513348478
"Gary Barnidge","TE",3.56010897443535
"Kellen Davis","TE",5.03750700114226
